age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback
21,F,IMUKGG8,Town,Gold Membership,23-06-2016,Yes,CID60781,Credit/Debit Card Offers,?,Wi-Fi,2:27:29,16,167.88,18634.3,21,1125.109306,No,Yes,Yes,No Information Available,Poor Product Quality
47,M,BG232VE,,Basic Membership,09-03-2016,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,22:38:43,10,152.07,41382.49,-15.22124665,,No,Yes,No,Not Applicable,No reason specified
37,M,PY6L0IK,Town,Premium Membership,27-07-2016,Yes,CID28198,Without Offers,?,Mobile_Data,12:20:38,20,67.06,29693.97,7,733.99,No,Yes,Yes,Solved,Too many ads
29,F,8ECNZ06,Town,Basic Membership,14-07-2015,Yes,CID50390,Gift Vouchers/Coupons,Smartphone,Mobile_Data,18:46:38,-999,33.67,16423.06,5,645.51,No,Yes,No,Not Applicable,Too many ads
54,M,ZNSMM7G,,Platinum Membership,19-01-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,20:30:37,20,135.46,19440.01,Error,842.79,Yes,No,Yes,Solved in Follow-up,Products always in Stock
37,F,GHF5Q8X,City,Gold Membership,20-01-2017,Yes,CID56817,Without Offers,Smartphone,Wi-Fi,15:43:33,9,1325.189113,5936.77,25,713.07,No,Yes,No,Not Applicable,Poor Product Quality
26,F,G2QV749,City,Silver Membership,13-12-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,2:41:58,-999,72.86,6450.09,17,1110.828309,Yes,No,Yes,Solved in Follow-up,Poor Customer Service
62,M,RNXWYGP,Village,Basic Membership,21-08-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,14:00:36,9,38.4,29755.37,13,612.09,Yes,No,Yes,Solved in Follow-up,No reason specified
64,F,SM2EDW2,Town,No Membership,02-08-2015,No,xxxxxxxx,Credit/Debit Card Offers,?,Fiber_Optic,18:11:51,4,151.96,16063.17,5,638.0,No,Yes,Yes,No Information Available,Too many ads
25,F,WOPJ1AA,Town,No Membership,22-08-2017,?,CID44945,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,8:19:46,5,1158.29553,37215.85,12,693.48,No,Yes,Yes,No Information Available,No reason specified
33,M,FR8H4TG,,Silver Membership,04-11-2016,Yes,CID27710,Gift Vouchers/Coupons,Desktop,Fiber_Optic,22:31:28,12,31.94,76738.82,16,188.550934,No,Yes,No,Not Applicable,Products always in Stock
31,F,A72113V,Town,Gold Membership,14-05-2016,Yes,CID29187,Without Offers,Desktop,Wi-Fi,22:14:02,21,132.89,41519.44,16,719.39,Yes,No,No,Not Applicable,Poor Product Quality
44,M,6LD0RVZ,Town,Gold Membership,12-06-2017,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,1:18:34,15,209.05,18961.98,19,770.8,Yes,No,No,Not Applicable,Poor Product Quality
58,M,CD3CIK2,City,Gold Membership,29-04-2016,Yes,CID6517,Without Offers,Smartphone,Wi-Fi,7:25:43,11,113.07,44300.16,12,718.34,Yes,No,Yes,Unsolved,Poor Customer Service
55,F,WMGPUF0,City,Platinum Membership,26-07-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,2:39:40,18,174.33,9362.57,26,707.71,No,Yes,No,Not Applicable,Poor Website
60,M,C95ORUL,Village,No Membership,13-07-2017,No,xxxxxxxx,Credit/Debit Card Offers,Both,Fiber_Optic,11:37:29,3,334.35,34573.07,27,529.56,Yes,Yes,No,Not Applicable,Poor Website
23,F,2WUSUQ6,City,Basic Membership,10-02-2017,?,CID3322,Gift Vouchers/Coupons,?,Fiber_Optic,16:49:28,10,34.72,4874.7,5,509.16,No,Yes,No,Not Applicable,Too many ads
17,M,AEYLWB6,Village,Basic Membership,12-10-2017,?,CID34231,Without Offers,Desktop,Wi-Fi,3:07:16,20,196.56,4344.19,-10.53117808,559.54,Yes,No,No,Not Applicable,Too many ads
54,F,P9THTWW,Town,Gold Membership,28-12-2016,Yes,CID40219,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20:37:50,23,111.79,4353.36,16,600.47,No,Yes,Yes,No Information Available,Too many ads
29,M,349CIBZ,City,Silver Membership,15-01-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,21:19:59,19,1106.643657,22292.62,10,,No,Yes,No,Not Applicable,Poor Website
13,M,DM9D2FA,Town,Basic Membership,30-04-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,23:21:44,22,115.76,2775.62,24,537.24,No,Yes,Yes,Unsolved,Too many ads
53,M,6J8SK29,Village,Basic Membership,21-08-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,13:23:11,14,176.43,8581.71,24,685.42,No,Yes,Yes,Solved,Poor Customer Service
53,M,QWIAN3Y,Village,Basic Membership,14-12-2016,No,xxxxxxxx,Without Offers,?,Wi-Fi,17:52:15,10,48.02,20436.28,5,676.57,No,Yes,Yes,No Information Available,Too many ads
43,F,QP3N4SY,Town,Silver Membership,24-08-2017,Yes,CID57416,Credit/Debit Card Offers,Desktop,Fiber_Optic,1:33:26,11,-1041.929451,34413.68,22,638.56,Yes,No,No,Not Applicable,Too many ads
30,F,86VM0LD,Town,Premium Membership,15-01-2016,Yes,CID37298,Without Offers,Smartphone,Mobile_Data,14:52:05,6,32.37,5267.07,8,723.49,Yes,No,No,Not Applicable,Poor Customer Service
17,M,P8Y6WOK,City,Basic Membership,03-08-2016,Yes,CID49063,Credit/Debit Card Offers,Desktop,Mobile_Data,3:55:28,9,-737.4694869,24552.1,6,318.054414,No,Yes,Yes,Solved in Follow-up,Poor Website
55,F,2G0FT1T,City,Gold Membership,01-02-2017,Yes,CID58902,Gift Vouchers/Coupons,Smartphone,Wi-Fi,23:59:52,8,253.59,23224.06,14,787.85,No,Yes,Yes,Unsolved,Products always in Stock
62,M,ZXYHZCW,Village,Platinum Membership,15-04-2015,No,xxxxxxxx,Gift Vouchers/Coupons,?,Fiber_Optic,5:29:52,20,146.9,27812.87,Error,737.96,No,Yes,No,Not Applicable,No reason specified
62,M,FV0T9U1,Village,Basic Membership,19-03-2017,Yes,CID50523,Without Offers,Smartphone,Wi-Fi,20:36:03,-999,501.66,23638.72,5,,Yes,No,Yes,No Information Available,No reason specified
16,F,3MY4E2V,,Basic Membership,14-05-2017,Yes,CID55193,Gift Vouchers/Coupons,?,Wi-Fi,19:32:42,16,277.29,19237.12,14,665.35,Yes,No,Yes,Solved in Follow-up,Too many ads
53,F,E6KOR9E,City,Gold Membership,01-12-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,8:24:19,3,390.41,49879.6,16,637.13,Yes,Yes,Yes,Solved in Follow-up,Too many ads
63,F,R65X89C,,No Membership,30-07-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,1:03:18,10,291.61,6346.27,22,664.43,Yes,No,Yes,Solved,Poor Customer Service
24,F,5O86430,Town,Silver Membership,18-08-2015,Yes,CID33756,Gift Vouchers/Coupons,Desktop,Mobile_Data,10:11:43,11,507.51,32374.9,29,605.14,Yes,No,No,Not Applicable,No reason specified
51,F,ZFLJ6UZ,Village,Basic Membership,21-04-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,7:56:42,10,51.72,6681.93,11,605.67,No,Yes,Yes,Solved,No reason specified
29,M,9C26807,Village,Basic Membership,16-11-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,15:56:19,15,33.44,43053.14,28,1240.290754,Yes,No,Yes,No Information Available,Poor Customer Service
61,M,8GUXDOH,City,Premium Membership,28-09-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,15:25:21,9,34.94,37067.59,10,,Yes,No,No,Not Applicable,Too many ads
37,M,S2SZL5H,City,Platinum Membership,24-09-2016,Yes,CID36953,Credit/Debit Card Offers,Both,Wi-Fi,17:57:23,7,749.65,69827.76,6,,Yes,Yes,Yes,Unsolved,Reasonable Price
36,F,Z2KP04J,Village,Silver Membership,06-03-2017,?,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,14:12:18,20,203.5,5860.34,11,701.7,Yes,No,No,Not Applicable,Poor Website
59,M,SNAT4QE,Village,Silver Membership,17-05-2017,No,xxxxxxxx,Credit/Debit Card Offers,?,Fiber_Optic,18:55:59,9,-556.759129,45607.66,18,637.96,No,Yes,No,Not Applicable,Poor Product Quality
18,F,4ULAYHZ,Town,Gold Membership,18-06-2015,Yes,CID5393,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:59:26,12,71.76,30487.53,24,776.07,Yes,No,Yes,Solved,Too many ads
42,M,2DOVL2K,City,Platinum Membership,30-12-2017,Yes,CID29446,Gift Vouchers/Coupons,Desktop,Mobile_Data,22:38:46,10,418.02,73364.65,10,709.13,No,Yes,Yes,Solved,Reasonable Price
64,F,IVKG7XQ,City,No Membership,08-07-2016,?,CID63116,Credit/Debit Card Offers,Desktop,Mobile_Data,22:44:01,13,111.85,48648.27,27,578.28,Yes,No,Yes,Solved in Follow-up,Poor Product Quality
31,M,UZAVT0W,City,Gold Membership,16-04-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,19:23:18,23,-955.8284649,28669.05,10,706.02,No,Yes,No,Not Applicable,Too many ads
54,F,N05XM4R,,Silver Membership,08-06-2015,No,xxxxxxxx,Without Offers,?,Wi-Fi,13:41:09,13,1240.764254,43588.42,5,455.5239471,Yes,Yes,No,Not Applicable,Too many ads
18,M,7KS1E75,City,Silver Membership,31-03-2015,?,CID52976,Credit/Debit Card Offers,Smartphone,Wi-Fi,20:30:59,-999,33.68,29909.9,25,692.87,No,Yes,Yes,Solved,Poor Customer Service
52,F,EX0IT4Y,City,Silver Membership,05-01-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,20:04:42,13,306.98,32545.91,22,613.37,Yes,No,Yes,Unsolved,Poor Website
46,M,J0SDMWM,Town,Basic Membership,18-07-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,20:10:53,12,61.67,19911.79,18,618.67,Yes,No,No,Not Applicable,Poor Customer Service
15,F,B1XZ6JH,Town,Silver Membership,01-03-2015,?,CID39505,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:50:19,19,44.43,898.87,11,,No,Yes,No,Not Applicable,No reason specified
11,F,MDXNAE9,Town,Platinum Membership,06-06-2015,Yes,CID62705,Gift Vouchers/Coupons,Both,Wi-Fi,4:28:16,3,361.28,48156.01,20,,Yes,Yes,Yes,Solved,Poor Customer Service
48,M,F7Y80ZJ,City,Silver Membership,15-11-2017,Yes,CID26714,Gift Vouchers/Coupons,Desktop,Fiber_Optic,2:55:07,15,78.79,6552.27,24,666.35,Yes,No,Yes,Solved in Follow-up,Poor Customer Service
46,F,5FL9H3F,Town,No Membership,24-12-2017,Yes,CID19071,Without Offers,Smartphone,Wi-Fi,18:51:51,11,1069.413159,29202.15,28,501.58,Yes,No,No,Not Applicable,No reason specified
42,F,W7U51IQ,Village,Gold Membership,05-04-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,2:04:48,16,43.49,36163.4,19,695.05,Yes,No,No,Not Applicable,Poor Website
32,M,LIH7SQ3,City,Platinum Membership,04-04-2016,Yes,CID14682,Credit/Debit Card Offers,Smartphone,Fiber_Optic,22:47:04,20,31.54,70339.96,3,744.02,No,Yes,Yes,Unsolved,Quality Customer Care
47,M,KKUMKD7,Town,Basic Membership,04-05-2017,?,CID48609,Without Offers,Smartphone,Fiber_Optic,11:57:57,4,814.2791286,39834.78,24,630.73,No,Yes,Yes,No Information Available,No reason specified
63,F,NT4L6DF,City,Basic Membership,01-07-2017,No,xxxxxxxx,Without Offers,Both,Mobile_Data,18:57:34,9,309.37,34657.72,20,523.63,Yes,No,No,Not Applicable,No reason specified
50,M,HDJR427,City,Gold Membership,09-11-2016,Yes,CID3593,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:07:28,3,1865.77,49296.77,27,713.6,No,Yes,No,Not Applicable,Poor Website
58,M,9FHX01Z,Town,No Membership,19-11-2015,Yes,CID55492,Without Offers,Smartphone,Fiber_Optic,14:45:39,-999,530.58,33200.18,21,551.11,Yes,No,No,Not Applicable,Poor Website
44,F,T26G0OC,City,Basic Membership,18-02-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,5:13:22,18,74.44,12350.89,Error,589.08,No,Yes,Yes,No Information Available,Too many ads
19,M,TB4ERRB,City,Gold Membership,03-12-2016,Yes,CID48298,Without Offers,Desktop,Fiber_Optic,20:12:03,12,30.68,42328.5,7,,Yes,No,Yes,Unsolved,Poor Customer Service
59,F,ZYT9WWA,City,No Membership,06-11-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,12:20:17,10,281.58,47256.84,9,612.03,Yes,Yes,No,Not Applicable,Poor Website
15,M,BJGR11M,Town,Gold Membership,09-10-2016,Yes,CID48671,Credit/Debit Card Offers,Desktop,Mobile_Data,15:21:56,15,-929.0977156,44339.77,-12.09308009,762.48,No,Yes,No,Not Applicable,Poor Customer Service
46,M,E28B9X5,Town,No Membership,19-10-2017,?,CID41525,Credit/Debit Card Offers,Desktop,Fiber_Optic,19:47:50,9,81.16,26499.81,20,534.85,Yes,No,No,Not Applicable,No reason specified
16,F,76M70SO,Town,Gold Membership,21-07-2015,Yes,CID27762,Credit/Debit Card Offers,Desktop,Mobile_Data,15:44:51,11,295.62,74083.72,9,1000.181762,No,Yes,Yes,Unsolved,Quality Customer Care
40,M,N1FOVV1,City,Gold Membership,14-03-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,11:33:31,11,299.25,22280.48,6,786.96,No,Yes,No,Not Applicable,Quality Customer Care
36,M,VYRY5QJ,City,Basic Membership,06-02-2016,?,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,15:36:35,8,214.91,7275.27,28,607.02,No,Yes,No,Not Applicable,No reason specified
36,F,1ZM6QSD,Town,Silver Membership,07-10-2017,Yes,CID2518,Without Offers,Both,Mobile_Data,23:36:09,-999,464.23,45353.18,29,,No,Yes,No,Not Applicable,Too many ads
16,M,ZG6UTSL,City,Premium Membership,25-06-2016,Yes,CID41671,Without Offers,Both,Wi-Fi,13:22:17,3,611.35,11988.84,17,704.4,Yes,Yes,Yes,Solved,Poor Product Quality
15,M,D4416C7,Village,Silver Membership,28-12-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,3:57:07,24,77.83,10602.22,1,759.45,Yes,No,Yes,Solved,User Friendly Website
54,F,7NTPM2F,Town,Platinum Membership,23-05-2016,?,CID41200,Credit/Debit Card Offers,?,Fiber_Optic,14:24:23,10,177.84,25122.5,7,760.23,Yes,No,Yes,Solved in Follow-up,Too many ads
50,M,08S3TFQ,City,Basic Membership,28-07-2017,?,CID11748,Gift Vouchers/Coupons,Desktop,Fiber_Optic,15:14:42,9,770.05,36267.52,Error,664.65,Yes,Yes,No,Not Applicable,Poor Customer Service
10,F,ZB6EMGB,City,No Membership,08-01-2016,No,xxxxxxxx,Without Offers,Both,Wi-Fi,4:16:01,4,312.16,11597.79,13,,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality
43,M,I1P8KQV,Village,Premium Membership,21-06-2016,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,22:23:49,13,157.9,31752.94,18,787.78,No,Yes,No,Not Applicable,No reason specified
